BPL,ID HK,NQR,P/W,LN,Lernort,ID LK,Beschreibung LK,ID LFE,Handlungsnotwendiges Wissen,Abfolge,Lektionen,ID LZ,Beschreibung LZ,Taxonomie LZ,Semester,Note zu HKB
ET,9999 a.01,NQR 4,P,LN 3,BFS,ET a1 09,Sie erstellen Kostenzusammenstellungen.,LFB_Hs_Mü,Verschiedene Kostenarten und deren Einfluss auf Projekte.  Berechnung von Entwicklungs- und Produktionskosten Kostenschätzungen und Budgetplanungen.,2,4,LZ_9123,"Sie erstellen eine detaillierte Kostenaufstellung für die Entwicklung von Geräten zur Energieüberwachung, einschliesslich Entwicklungs- und Produktionskosten. Sie lernen, die Kosten zu berechnen und verschiedene Kostenfaktoren zu identifizieren und einzutragen.",K3,4. Sem.,1
ET,9999 a.01,NQR 4,P,LN 3,BFS,ET a1 09,Sie erstellen Kostenzusammenstellungen.,LFB_Hs_Mü,,,,LZ_9124,"Sie unterscheiden und kalkulieren verschiedene Kostenfaktoren wie Materialkosten, Arbeitskosten und Betriebskosten und halten diese schriftlich fest.",K4,4. Sem.,1
ET,9999 a.01,NQR 4,P,LN 3,BFS,ET a1 09,Sie erstellen Kostenzusammenstellungen.,LFB_Hs_Mü,,,,LZ_9125,Sie führen Kostenanalysen durch und beschreiben und beurteilen Einsparpotenziale durch die Anwendung von Ecodesign-Prinzipien.,K4,4. Sem.,1
ET,9999 b.01,NQR 4,P,LN 2,BFS,ET b1 20,Sie erläutern die Prinzipien des Ecodesigns in Bezug auf material- und energieeffizientes Design.,LFB_Hs_Mü,Ecodesign-Grundsätze Energieeffiziente Designmethoden Lebenszyklus eines Produkts,3,2,LZ_5534,Sie berechnen die Energiekosten.,K3,4. Sem.,0
ET,9999 b.01,NQR 4,P,LN 2,BFS,ET b1 20,Sie erläutern die Prinzipien des Ecodesigns in Bezug auf material- und energieeffizientes Design.,LFB_Hs_Mü,,,,LZ_9128,Sie erklären die Grundprinzipien des Ecodesigns und deren Bedeutung für die Entwicklung von Geräten zur Energieüberwachung.,K3,4. Sem.,0
ET,9999 b.01,NQR 4,P,LN 2,BFS,ET b1 20,Sie erläutern die Prinzipien des Ecodesigns in Bezug auf material- und energieeffizientes Design.,LFB_Hs_Mü,,,,LZ_9129,Sie erarbeiten Strategien zur Minimierung des Material- und Energieverbrauchs während des Produktdesigns.,K4,4. Sem.,0
ET,9999 b.01,NQR 4,P,LN 2,BFS,ET b1 20,Sie erläutern die Prinzipien des Ecodesigns in Bezug auf material- und energieeffizientes Design.,LFB_Hs_Mü,,,,LZ_9130,Sie interpretieren Beispiele für die Anwendungen von Ecodesign in der Praxis und dokumentieren deren positive Auswirkungen auf die Umwelt.,K4,4. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,KR a2 09,"Sie beurteilen ökologische Ansätze, sowie Technologien zur Ökologie und deren Anwendungsgebiete.",LFB_Hs_Mü,Aktuelle ökologische Herausforderungen und Technologien Methoden zur Bewertung von ökologischen Technologien Integration ökologischer Technologien in Prozesse Gesetzlichen Anforderungen im Bereich Umweltschutz,4,4,LZ_223,Sie nennen den Einsatz von Recycling-Werkstoffen in der Technik.,K1,4. Sem.,1
ET,9999 a.02,NQR 5,P,LN 3,BFS,KR a2 09,"Sie beurteilen ökologische Ansätze, sowie Technologien zur Ökologie und deren Anwendungsgebiete.",LFB_Hs_Mü,,,,LZ_9131,Sie analysieren verschiedene ökologische Ansätze und Technologien zur Reduktion von CO₂-Emissionen und zur Erhöhung der Ressourceneffizienz.,K4,4. Sem.,1
ET,9999 a.02,NQR 5,P,LN 3,BFS,KR a2 09,"Sie beurteilen ökologische Ansätze, sowie Technologien zur Ökologie und deren Anwendungsgebiete.",LFB_Hs_Mü,,,,LZ_9132,Sie beschreiben und planen die Anwendungsgebiete und den Nutzen von Technologien zur Energieeffizienz in industriellen Anwendungen.,K4,4. Sem.,1
